ecosystem,name,version
apk,alpine-baselayout,3.7.0-r0
apk,alpine-baselayout-data,3.7.0-r0
apk,alpine-keys,2.5-r0
apk,alpine-release,3.22.1-r0
apk,apk-tools,2.14.9-r2
apk,bash,5.2.37-r0
apk,brotli-libs,1.1.0-r2
apk,busybox,1.37.0-r18
apk,busybox-binsh,1.37.0-r18
apk,c-ares,1.34.5-r0
apk,ca-certificates,20250619-r0
apk,ca-certificates-bundle,20250619-r0
apk,curl,8.14.1-r1
apk,libapk2,2.14.9-r2
apk,libcrypto3,3.5.1-r0
apk,libcurl,8.14.1-r1
apk,libidn2,2.3.7-r0
apk,libncursesw,6.5_p20250503-r0
apk,libpsl,0.21.5-r3
apk,libssl3,3.5.1-r0
apk,libunistring,1.3-r0
apk,musl,1.2.5-r10
apk,musl-utils,1.2.5-r10
apk,ncurses-terminfo-base,6.5_p20250503-r0
apk,nghttp2-libs,1.65.0-r0
apk,readline,8.2.13-r1
apk,scanelf,1.3.8-r1
apk,ssl_client,1.37.0-r18
apk,tzdata,2025b-r0
apk,zlib,1.3.1-r2
apk,zstd-libs,1.5.7-r0
bitnami,composer,2.8.9
bitnami,libmaxminddb,1.12.2
bitnami,libmemcached,3.3.0
bitnami,libphp,8.2.29-1
bitnami,maxmind-db-reader-php,1.12.1
bitnami,moodle,5.0.1-0
bitnami,mysql-client,11.8.2-0
bitnami,peclapcu,5.1.24
bitnami,peclimagick,3.8.0
bitnami,peclmongodb,1.21.0
bitnami,peclxdebug,3.4.4
bitnami,php,8.2.29-0
bitnami,postgresql-client,13.21.0-0
bitnami,render-template,1.0.8-0
cargo,Inflector,0.11.4
cargo,a,0.1.1
cargo,aa-stroke,0.1.0
cargo,ab_glyph,0.2.25
cargo,ab_glyph,0.2.28
cargo,ab_glyph,0.2.29
cargo,ab_glyph_rasterizer,0.1.7
cargo,ab_glyph_rasterizer,0.1.8
cargo,accesskit,0.12.3
cargo,addr2line,0.12.1
cargo,addr2line,0.17.0
cargo,addr2line,0.19.0
cargo,addr2line,0.20.0
cargo,addr2line,0.21.0
cargo,addr2line,0.22.0
cargo,addr2line,0.23.0
cargo,addr2line,0.24.2
cargo,adler,1.0.2
cargo,adler2,2.0.0
cargo,adler2,2.0.1
cargo,adler32,1.0.4
cargo,adler32,1.2.0
cargo,adtensor,0.0.2
cargo,aes,0.7.5
cargo,aes,0.8.4
cargo,afl,0.15.19
cargo,ahash,0.7.6
cargo,ahash,0.7.8
cargo,ahash,0.8.11
cargo,ahash,0.8.12
cargo,ahash,0.8.8
cargo,aho-corasick,0.6.6
cargo,aho-corasick,0.7.10
cargo,aho-corasick,0.7.15
cargo,aho-corasick,0.7.18
cargo,aho-corasick,0.7.19
cargo,aho-corasick,0.7.20
cargo,aho-corasick,1.0.1
cargo,aho-corasick,1.0.2
cargo,aho-corasick,1.0.4
cargo,aho-corasick,1.1.0
cargo,aho-corasick,1.1.1
cargo,aho-corasick,1.1.2
cargo,aho-corasick,1.1.3
cargo,aho-corasick,1.1.4
cargo,aliasable,0.1.3
cargo,aligned-vec,0.5.0
cargo,allo-isolate,0.1.27
cargo,alloc-no-stdlib,2.0.4
cargo,alloc-stdlib,0.2.2
cargo,allocator-api2,0.2.16
cargo,allocator-api2,0.2.18
cargo,allocator-api2,0.2.21
cargo,allocator-api2,0.2.999
cargo,alloy,1.0.38
cargo,alloy-chains,0.2.14
cargo,alloy-consensus,1.0.38
cargo,alloy-consensus-any,1.0.38
cargo,alloy-contract,1.0.38
cargo,alloy-core,1.4.1
cargo,alloy-dyn-abi,1.4.1
cargo,alloy-eip2124,0.2.0
cargo,alloy-eip2930,0.2.1
cargo,alloy-eip7702,0.6.1
cargo,alloy-eips,1.0.38
cargo,alloy-genesis,1.0.38
cargo,alloy-json-abi,1.4.1
cargo,alloy-json-rpc,1.0.38
cargo,alloy-network,1.0.38
cargo,alloy-network-primitives,1.0.38
cargo,alloy-primitives,1.4.1
cargo,alloy-provider,1.0.38
cargo,alloy-rlp,0.3.12
cargo,alloy-rlp-derive,0.3.12
