ecosystem,namespace,name,version,repo_url,resolution_source
apk,alpine,alpine-baselayout,3.7.0-r0,,unresolvable_ecosystem
apk,alpine,alpine-baselayout-data,3.7.0-r0,,unresolvable_ecosystem
apk,alpine,alpine-keys,2.5-r0,,unresolvable_ecosystem
apk,alpine,alpine-release,3.22.1-r0,,unresolvable_ecosystem
apk,alpine,apk-tools,2.14.9-r2,,unresolvable_ecosystem
apk,alpine,bash,5.2.37-r0,,unresolvable_ecosystem
apk,alpine,brotli-libs,1.1.0-r2,,unresolvable_ecosystem
apk,alpine,busybox,1.37.0-r18,,unresolvable_ecosystem
apk,alpine,busybox-binsh,1.37.0-r18,,unresolvable_ecosystem
apk,alpine,c-ares,1.34.5-r0,,unresolvable_ecosystem
apk,alpine,ca-certificates,20250619-r0,,unresolvable_ecosystem
apk,alpine,ca-certificates-bundle,20250619-r0,,unresolvable_ecosystem
apk,alpine,curl,8.14.1-r1,,unresolvable_ecosystem
apk,alpine,libapk2,2.14.9-r2,,unresolvable_ecosystem
apk,alpine,libcrypto3,3.5.1-r0,,unresolvable_ecosystem
apk,alpine,libcurl,8.14.1-r1,,unresolvable_ecosystem
apk,alpine,libidn2,2.3.7-r0,,unresolvable_ecosystem
apk,alpine,libncursesw,6.5_p20250503-r0,,unresolvable_ecosystem
apk,alpine,libpsl,0.21.5-r3,,unresolvable_ecosystem
apk,alpine,libssl3,3.5.1-r0,,unresolvable_ecosystem
apk,alpine,libunistring,1.3-r0,,unresolvable_ecosystem
apk,alpine,musl,1.2.5-r10,,unresolvable_ecosystem
apk,alpine,musl-utils,1.2.5-r10,,unresolvable_ecosystem
apk,alpine,ncurses-terminfo-base,6.5_p20250503-r0,,unresolvable_ecosystem
apk,alpine,nghttp2-libs,1.65.0-r0,,unresolvable_ecosystem
apk,alpine,readline,8.2.13-r1,,unresolvable_ecosystem
apk,alpine,scanelf,1.3.8-r1,,unresolvable_ecosystem
apk,alpine,ssl_client,1.37.0-r18,,unresolvable_ecosystem
apk,alpine,tzdata,2025b-r0,,unresolvable_ecosystem
apk,alpine,zlib,1.3.1-r2,,unresolvable_ecosystem
apk,alpine,zstd-libs,1.5.7-r0,,unresolvable_ecosystem
bitnami,,composer,2.8.9,,unresolvable_ecosystem
bitnami,,libmaxminddb,1.12.2,,unresolvable_ecosystem
bitnami,,libmemcached,3.3.0,,unresolvable_ecosystem
bitnami,,libphp,8.2.29-1,,unresolvable_ecosystem
bitnami,,maxmind-db-reader-php,1.12.1,,unresolvable_ecosystem
bitnami,,moodle,5.0.1-0,,unresolvable_ecosystem
bitnami,,mysql-client,11.8.2-0,,unresolvable_ecosystem
bitnami,,peclapcu,5.1.24,,unresolvable_ecosystem
bitnami,,peclimagick,3.8.0,,unresolvable_ecosystem
bitnami,,peclmongodb,1.21.0,,unresolvable_ecosystem
bitnami,,peclxdebug,3.4.4,,unresolvable_ecosystem
bitnami,,php,8.2.29-0,,unresolvable_ecosystem
bitnami,,postgresql-client,13.21.0-0,,unresolvable_ecosystem
bitnami,,render-template,1.0.8-0,,unresolvable_ecosystem
cargo,,Inflector,0.11.4,https://github.com/whatisinternet/inflector,deps_dev
cargo,,a,0.1.1,https://git.sr.ht/~hkl/a,deps_dev
cargo,,aa-stroke,0.1.0,,none
cargo,,ab_glyph,0.2.25,https://github.com/alexheretic/ab-glyph,deps_dev
cargo,,ab_glyph,0.2.28,https://github.com/alexheretic/ab-glyph,deps_dev
cargo,,ab_glyph,0.2.29,https://github.com/alexheretic/ab-glyph,deps_dev
cargo,,ab_glyph_rasterizer,0.1.7,https://github.com/alexheretic/ab-glyph,deps_dev
cargo,,ab_glyph_rasterizer,0.1.8,https://github.com/alexheretic/ab-glyph,deps_dev
cargo,,accesskit,0.12.3,https://github.com/AccessKit/accesskit,deps_dev
